LeetCode No,Problem Title,Level,Tags,Acceptance,URL
1, Two Sum,Easy,ArrayHash Table,48.7,https://leetcode.com/problems/two-sum
2, Add Two Numbers,Medium,Linked ListMathRecursion,38.8,https://leetcode.com/problems/add-two-numbers
3, Longest Substring Without Repeating Characters,Medium,Hash TableStringSliding Window,33.2,https://leetcode.com/problems/longest-substring-without-repeating-characters
4, Median of Two Sorted Arrays,Hard,ArrayBinary SearchDivide and Conquer,34.3,https://leetcode.com/problems/median-of-two-sorted-arrays
5, Longest Palindromic Substring,Medium,StringDynamic Programming,31.8,https://leetcode.com/problems/longest-palindromic-substring
6, Zigzag Conversion,Medium,String,41.8,https://leetcode.com/problems/zigzag-conversion
7, Reverse Integer,Medium,Math,26.8,https://leetcode.com/problems/reverse-integer
8, String to Integer (atoi),Medium,String,16.5,https://leetcode.com/problems/string-to-integer-atoi
9, Palindrome Number,Easy,Math,52.5,https://leetcode.com/problems/palindrome-number
10, Regular Expression Matching,Hard,StringDynamic ProgrammingRecursion,28.3,https://leetcode.com/problems/regular-expression-matching
11, Container With Most Water,Medium,ArrayTwo PointersGreedy,54,https://leetcode.com/problems/container-with-most-water
12, Integer to Roman,Medium,Hash TableMathString,59.7,https://leetcode.com/problems/integer-to-roman
13, Roman to Integer,Easy,Hash TableMathString,57.9,https://leetcode.com/problems/roman-to-integer
14, Longest Common Prefix,Easy,String,39.7,https://leetcode.com/problems/longest-common-prefix
15, 3Sum,Medium,ArrayTwo PointersSorting,31.3,https://leetcode.com/problems/3sum
16, 3Sum Closest,Medium,ArrayTwo PointersSorting,47.1,https://leetcode.com/problems/3sum-closest
17, Letter Combinations of a Phone Number,Medium,Hash TableStringBacktracking,54.5,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18, 4Sum,Medium,ArrayTwo PointersSorting,37.4,https://leetcode.com/problems/4sum
19, Remove Nth Node From End of List,Medium,Linked ListTwo Pointers,38.5,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20, Valid Parentheses,Easy,StringStack,40.9,https://leetcode.com/problems/valid-parentheses
21, Merge Two Sorted Lists,Easy,Linked ListRecursion,60.6,https://leetcode.com/problems/merge-two-sorted-lists
22, Generate Parentheses,Medium,StringDynamic ProgrammingBacktracking,70.4,https://leetcode.com/problems/generate-parentheses
23, Merge k Sorted Lists,Hard,Linked ListDivide and Conquer2+,47.3,https://leetcode.com/problems/merge-k-sorted-lists
24, Swap Nodes in Pairs,Medium,Linked ListRecursion,59.1,https://leetcode.com/problems/swap-nodes-in-pairs
25, Reverse Nodes in k-Group,Hard,Linked ListRecursion,51.5,https://leetcode.com/problems/reverse-nodes-in-k-group
26, Remove Duplicates from Sorted Array,Easy,ArrayTwo Pointers,49.2,https://leetcode.com/problems/remove-duplicates-from-sorted-array
27, Remove Element,Easy,ArrayTwo Pointers,51.4,https://leetcode.com/problems/remove-element
28, Implement strStr(),Easy,Two PointersStringString Matching,36.2,https://leetcode.com/problems/implement-strstr
29, Divide Two Integers,Medium,MathBit Manipulation,17.5,https://leetcode.com/problems/divide-two-integers
30, Substring with Concatenation of All Words,Hard,Hash TableStringSliding Window,28.3,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31, Next Permutation,Medium,ArrayTwo Pointers,36.6,https://leetcode.com/problems/next-permutation
32, Longest Valid Parentheses,Hard,StringDynamic ProgrammingStack,32.3,https://leetcode.com/problems/longest-valid-parentheses
33, Search in Rotated Sorted Array,Medium,ArrayBinary Search,38,https://leetcode.com/problems/search-in-rotated-sorted-array
34, Find First and Last Position of Element in Sorted Array,Medium,ArrayBinary Search,40.3,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35, Search Insert Position,Easy,ArrayBinary Search,42.3,https://leetcode.com/problems/search-insert-position
36, Valid Sudoku,Medium,ArrayHash TableMatrix,55.4,https://leetcode.com/problems/valid-sudoku
37, Sudoku Solver,Hard,ArrayBacktrackingMatrix,54.5,https://leetcode.com/problems/sudoku-solver
