LeetCode No,Problem Title,Level,Tags,Acceptance,URL
1, Two Sum,Easy,ArrayHash Table,48.7,https://leetcode.com/problems/two-sum
9, Palindrome Number,Easy,Math,52.5,https://leetcode.com/problems/palindrome-number
13, Roman to Integer,Easy,Hash TableMathString,57.9,https://leetcode.com/problems/roman-to-integer
14, Longest Common Prefix,Easy,String,39.7,https://leetcode.com/problems/longest-common-prefix
20, Valid Parentheses,Easy,StringStack,40.9,https://leetcode.com/problems/valid-parentheses
21, Merge Two Sorted Lists,Easy,Linked ListRecursion,60.6,https://leetcode.com/problems/merge-two-sorted-lists
26, Remove Duplicates from Sorted Array,Easy,ArrayTwo Pointers,49.2,https://leetcode.com/problems/remove-duplicates-from-sorted-array
27, Remove Element,Easy,ArrayTwo Pointers,51.4,https://leetcode.com/problems/remove-element
35, Search Insert Position,Easy,ArrayBinary Search,42.3,https://leetcode.com/problems/search-insert-position
58, Length of Last Word,Easy,String,38.2,https://leetcode.com/problems/length-of-last-word
66, Plus One,Easy,ArrayMath,43,https://leetcode.com/problems/plus-one
67, Add Binary,Easy,MathStringBit Manipulation1+,50.7,https://leetcode.com/problems/add-binary
69, Sqrt(x),Easy,MathBinary Search,36.6,https://leetcode.com/problems/sqrtx
70, Climbing Stairs,Easy,MathDynamic ProgrammingMemoization,51.2,https://leetcode.com/problems/climbing-stairs
83, Remove Duplicates from Sorted List,Easy,Linked List,49.2,https://leetcode.com/problems/remove-duplicates-from-sorted-list
88, Merge Sorted Array,Easy,ArrayTwo PointersSorting,44.8,https://leetcode.com/problems/merge-sorted-array
94, Binary Tree Inorder Traversal,Easy,StackTreeDepth-First Search1+,71.1,https://leetcode.com/problems/binary-tree-inorder-traversal
100, Same Tree,Easy,TreeDepth-First Search2+,55.7,https://leetcode.com/problems/same-tree
101, Symmetric Tree,Easy,TreeDepth-First Search2+,51.8,https://leetcode.com/problems/symmetric-tree
104, Maximum Depth of Binary Tree,Easy,TreeDepth-First Search2+,72.1,https://leetcode.com/problems/maximum-depth-of-binary-tree
108, Convert Sorted Array to Binary Search Tree,Easy,ArrayDivide and ConquerTree2+,66.4,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
110, Balanced Binary Tree,Easy,TreeDepth-First SearchBinary Tree,47,https://leetcode.com/problems/balanced-binary-tree
111, Minimum Depth of Binary Tree,Easy,TreeDepth-First Search2+,42.7,https://leetcode.com/problems/minimum-depth-of-binary-tree
112, Path Sum,Easy,TreeDepth-First Search2+,45.8,https://leetcode.com/problems/path-sum
118, Pascal's Triangle,Easy,ArrayDynamic Programming,65.3,https://leetcode.com/problems/pascals-triangle
119, Pascal's Triangle II,Easy,ArrayDynamic Programming,58,https://leetcode.com/problems/pascals-triangle-ii
121, Best Time to Buy and Sell Stock,Easy,ArrayDynamic Programming,54.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
125, Valid Palindrome,Easy,Two PointersString,42.1,https://leetcode.com/problems/valid-palindrome
136, Single Number,Easy,ArrayBit Manipulation,69.5,https://leetcode.com/problems/single-number
141, Linked List Cycle,Easy,Hash TableLinked ListTwo Pointers,46.1,https://leetcode.com/problems/linked-list-cycle
144, Binary Tree Preorder Traversal,Easy,StackTreeDepth-First Search1+,62.9,https://leetcode.com/problems/binary-tree-preorder-traversal
145, Binary Tree Postorder Traversal,Easy,StackTreeDepth-First Search1+,64.6,https://leetcode.com/problems/binary-tree-postorder-traversal
157, Read N Characters Given Read4,Easy,StringSimulationInteractive,40.4,https://leetcode.com/problems/read-n-characters-given-read4
160, Intersection of Two Linked Lists,Easy,Hash TableLinked ListTwo Pointers,51.5,https://leetcode.com/problems/intersection-of-two-linked-lists
168, Excel Sheet Column Title,Easy,MathString,34.1,https://leetcode.com/problems/excel-sheet-column-title
169, Majority Element,Easy,ArrayHash TableDivide and Conquer2+,63.1,https://leetcode.com/problems/majority-element
190, Reverse Bits,Easy,Divide and ConquerBit Manipulation,49.6,https://leetcode.com/problems/reverse-bits
191, Number of 1 Bits,Easy,Bit Manipulation,62.3,https://leetcode.com/problems/number-of-1-bits
202, Happy Number,Easy,Hash TableMathTwo Pointers,53.5,https://leetcode.com/problems/happy-number
203, Remove Linked List Elements,Easy,Linked ListRecursion,43.8,https://leetcode.com/problems/remove-linked-list-elements
205, Isomorphic Strings,Easy,Hash TableString,42.2,https://leetcode.com/problems/isomorphic-strings
206, Reverse Linked List,Easy,Linked ListRecursion,70.7,https://leetcode.com/problems/reverse-linked-list
217, Contains Duplicate,Easy,ArrayHash TableSorting,61,https://leetcode.com/problems/contains-duplicate
219, Contains Duplicate II,Easy,ArrayHash TableSliding Window,40.7,https://leetcode.com/problems/contains-duplicate-ii
222, Count Complete Tree Nodes,Easy,Binary SearchTreeDepth-First Search1+,55.7,https://leetcode.com/problems/count-complete-tree-nodes
226, Invert Binary Tree,Easy,TreeDepth-First Search2+,71.9,https://leetcode.com/problems/invert-binary-tree
228, Summary Ranges,Easy,Array,46.4,https://leetcode.com/problems/summary-ranges
231, Power of Two,Easy,MathBit ManipulationRecursion,45.1,https://leetcode.com/problems/power-of-two
234, Palindrome Linked List,Easy,Linked ListTwo PointersStack1+,47,https://leetcode.com/problems/palindrome-linked-list
242, Valid Anagram,Easy,Hash TableStringSorting,61.6,https://leetcode.com/problems/valid-anagram
252, Meeting Rooms,Easy,ArraySorting,56.8,https://leetcode.com/problems/meeting-rooms
257, Binary Tree Paths,Easy,StringBacktrackingTree2+,59,https://leetcode.com/problems/binary-tree-paths
268, Missing Number,Easy,ArrayHash TableMath2+,60.5,https://leetcode.com/problems/missing-number
278, First Bad Version,Easy,Binary SearchInteractive,42,https://leetcode.com/problems/first-bad-version
283, Move Zeroes,Easy,ArrayTwo Pointers,60.8,https://leetcode.com/problems/move-zeroes
292, Nim Game,Easy,MathBrainteaserGame Theory,55.6,https://leetcode.com/problems/nim-game
303, Range Sum Query - Immutable,Easy,ArrayDesignPrefix Sum,56.1,https://leetcode.com/problems/range-sum-query-immutable
326, Power of Three,Easy,MathRecursion,43.6,https://leetcode.com/problems/power-of-three
338, Counting Bits,Easy,Dynamic ProgrammingBit Manipulation,74.5,https://leetcode.com/problems/counting-bits
344, Reverse String,Easy,Two PointersStringRecursion,75.1,https://leetcode.com/problems/reverse-string
345, Reverse Vowels of a String,Easy,Two PointersString,47.1,https://leetcode.com/problems/reverse-vowels-of-a-string
349, Intersection of Two Arrays,Easy,ArrayHash TableTwo Pointers2+,69.3,https://leetcode.com/problems/intersection-of-two-arrays
350, Intersection of Two Arrays II,Easy,ArrayHash TableTwo Pointers2+,55.1,https://leetcode.com/problems/intersection-of-two-arrays-ii
374, Guess Number Higher or Lower,Easy,Binary SearchInteractive,49.5,https://leetcode.com/problems/guess-number-higher-or-lower
